Date de la mesure,Province,Nature de la mesure,Description de la mesure,Pour en savoir plus
18-Sep-20,NUNAVUT,Économique ,"Plus de 2,5 millions de dollars en fonds d'aide et de relance sont versés à 46 entreprises du Nunavut","<a href=\""https://www.canada.ca/fr/developpement-economique-nord/nouvelles/2020/09/plus-de-25-millions-de-dollars-en-fonds-daide-et-de-relance-sont-verses-a-46-entreprises-du-nunavut.html \""> Gouvernement du Nunavut</a>"
01-Oct-20,NUNAVUT,Sanitaire ,Prolongement de l’urgence de santé publique.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/le-nunavut-prolonge-lurgence-de-sante-publique-1\""> Gouvernement du Nunavut</a>"
01-Oct-20,NUNAVUT,Sanitaire ,"Fermeture des frontières du Nunavut à la majorité des non-résidents du Nunavut. Des exemptions sont toutefois accordées aux personnes qui arrivent de Churchill, au Manitoba.","<a href=\""https://ici.radio-canada.ca/nouvelle/1738089/nunavut-covid-restrictions-sanitaires \""> Gouvernement du Nunavut</a>"
03-Oct-20,NUNAVUT,Sanitaire ,"Reprise de presque toutes les activités, tout en maintenant certaines mesures comme la limite de rassemblements à 50 personnes.
","<a href=\""https://ici.radio-canada.ca/nouvelle/1737370/mesures-plan-provinces-canada-deconfinement-pandemie-covid-coronavirus\""> Gouvernement du Nunavut</a>"
15-Oct-20,NUNAVUT,Sanitaire ,Prolongement de l’urgence de santé publique.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/le-nunavut-prolonge-lurgence-de-sante-publique-2 \""> Gouvernement du Nunavut</a>"
29-Oct-20,NUNAVUT,Sanitaire ,Prolongement de l’urgence de santé publique.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/le-nunavut-prolonge-lurgence-de-sante-publique-3 \""> Gouvernement du Nunavut</a>"
06-Nov-20,NUNAVUT,Sanitaire ,ARRÊTÉ LIMITANT LES DÉPLACEMENTS ET LES RASSEMBLEMENTS DANS LA COLLECTIVITÉ ,à confirmer
11-Nov-20,NUNAVUT,Sanitaire ,"Modification, fermeture, annulation et suspension de services.
","<a href=\""https://www.gov.nu.ca/fr/executif-et-des-affaires-intergouvernementales/news/covid-19-mise-jour-du-gn-11-novembre-2020 \""> Gouvernement du Nunavut</a>"
12-Nov-20,NUNAVUT,Sanitaire ,Prolongement de l’urgence de santé publique.,"<a href=\""https://www.gov.nu.ca/fr/sante/news/le-nunavut-prolonge-lurgence-de-sante-publique-4 \""> Gouvernement du Nunavut</a>"
16-Nov-20,NUNAVUT,Économique ,"Indication sur les services qui sont en cours et les restrictions qui s'appliquent.
","<a href=\""https://www.gov.nu.ca/fr/developpement-economique-et-des-transports/news/covid-19-mise-jour-du-ministere-du-developpement \""> Gouvernement du Nunavut</a>"
